"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",-12.251529872443,-0.546462326948829,-5.15949442857889,-5.39301111120908,-13.3578590812042,-4.41704208730511,-4.52699093179305,-1.16979178294379,-9.44587610277613,-3.5022109347642,-10.9891066245967,-8.9764567654006,-0.11999873900397,-8.67119849218075,-5.24620429628587,-4.08640388017187,-8.91377808427866,-2.42393610647338,-6.33333381028479,-1.5057379038898,-1.42119652383542
"2",-4.35584517662029,-8.15812462787499,-7.86905753249259,-2.64434087598764,-1.4486613771956,-4.12459656611031,-7.94504459415167,-5.21022150650196,-8.9089828657145,-8.24945131435637,-13.2457172645715,-11.3994005025514,-8.73453638702674,-10.9899130037425,-1.57926433835386,-4.49247365134149,-11.1236232303705,-0.1020094960413,-1.95383281677146,-3.22376151794819,-1.57981426428982
"3",-7.45560457992428,-4.5544465764773,-2.76136647189066,-12.2397935237187,-11.3010956724673,-7.83398558106185,-7.13720236270105,-0.863413972664062,-4.34164463343615,-6.11881490359718,-5.51547547261922,-0.405578418177237,-0.139341503055476,-4.08498501499648,-2.93468230123292,-1.82122210354252,-3.91969506044634,-6.10454878139459,-1.02378042394552,-12.1512754096768,-12.7568840510154
"4",-5.48483422655976,-7.47397852813989,-3.31968820790098,-7.36798086068679,-1.89621312654442,-8.11406106293413,-7.73942610833945,-12.2647352301211,-10.1036879342884,-5.79126811434281,-5.15077684715193,-1.11338867823556,-2.16462643483844,-2.78371144933777,-0.796531156139597,-5.12172884659419,-2.36019405908465,-1.95204796052674,-2.39223011706264,-5.31337720028925,-5.1283106033831
"5",-7.6979499430536,-6.20051662993703,-3.95375289199654,-5.07995228715784,-1.16643347040928,-4.07522172985233,-1.80260300075065,-2.33911238417498,-0.434480972122518,-2.42060144303548,-10.7400236577118,-4.62966172428356,-4.11224122766196,-10.3544904010617,-1.15373433436309,-0.959916987704906,-5.26102318484962,-7.3172904049819,-4.80378690528008,-6.63406492079431,-4.51420543956945
"6",-0.879568999439062,-0.822652390791395,-11.0604438172391,-2.45866630145082,-7.31559597983823,-3.97712836851578,-2.41725835931925,-4.24873640543034,-0.0155933353322699,-3.98538141682695,-13.008453274491,-1.32733174853907,-11.7295354111965,-1.42252686381374,-7.19699141138072,-2.43956178682754,-11.5867244931093,-5.60156728621815,-5.17671726708709,-1.51282922477402,-5.48307454719612
"7",-3.10729388700468,-8.07215303633325,-3.47360196245503,-4.43820521548055,-7.03062965651647,-4.70827343646746,-0.651981644280667,-2.40591174966725,-8.53915747412238,-5.9278078704452,-2.14137642024538,-10.8701172735288,-11.5773286282366,-3.48572703524774,-6.20463618422115,-14.0608891389749,-6.57723771633235,-5.47327496080665,-9.42287845663056,-6.79184699733053,-4.36926172995256
"8",-0.761463439820752,-12.137485203216,-2.80858126517307,-4.59321239584098,-5.04551114700197,-8.17121174564034,-5.46451679267533,-7.37891547482441,-3.99989765538057,-3.29136097054195,-2.37262429316141,-2.18860106511928,-10.0987854436881,-1.04344599514172,-1.75934342813182,-4.33946169039444,-3.94685411997681,-4.28670256184605,-0.414387300305887,-5.67608123721247,-3.10217569255451
"9",-1.25705576096392,-5.51502860486034,-1.71041477197495,-4.12581535050725,-4.55853557492297,-4.13446916450773,-5.04976828315661,-8.34254502073427,-1.24809930087145,-12.130130085526,-2.98170268414685,-5.25736678562885,-5.65025810321872,-0.473565405692779,-8.62340549652496,-2.238380747778,-7.84168048345477,-8.91764379566798,-10.5645668368952,-8.03926235411446,-2.66556365738543
"10",-0.305451895754351,-5.8963523547188,-12.2272305710765,-11.0154041906479,-12.0678126591721,-7.17201072680076,-2.66758412854386,-7.99151437079105,-2.31434929956639,-3.63477340637975,-13.8044324053726,-10.5824696571319,-5.46981271140242,-5.44719504850064,-6.25591881018607,-5.56130056923698,-5.42345457492443,-4.94509204046706,-2.92836696532786,-3.50023824360834,-7.81904300557404
