,ARMA-ARCH-before,ARMA-ARCH-update,ARIMA-before,ARIMA-update,GAM-before,GAM-update,LM-before,LM-update,LSTM-before,LSTM-update,benchmark
1,-4.33042822363552,-1.56753573943917,-9.2878723625384,-4.16516667174713,-7.42213332049064,-3.51463679838528,-6.68387117872652,-2.99659735911778,-3.47477564978058,-1.62954688926541,-2.0
2,-15.7056518029489,-7.0931820556338,-19.3420139511661,-9.08270306979135,-14.8664424087402,-7.09537843429265,-13.0230869162216,-6.06377688076231,-12.1539183762637,-5.75583813791695,-9.05771531964771
3,-11.4902480230991,-4.92033466792857,-4.6744415310768,-1.74855376610748,-11.6900054126879,-5.2240859230481,-11.7884652474028,-5.40778798142051,-12.9861096928347,-5.99905680895217,-25.2022780011401
4,-8.71783908731519,-4.03194441834377,-6.27238687017753,-2.69833387372192,-15.7895746383833,-7.43068484279994,-13.5509231481299,-6.34092293195156,-20.5965118421095,-9.89957226036512,-18.3796172409626
5,-5.25025084978335,-0.738543259631255,-2.82236114056661,-0.830229396710905,-12.5202195079899,-5.53634870234315,-11.8179585897398,-4.88461902623541,-13.143324439745,-2.44770033953683,-20.183367158749
6,32.3169148164537,36.8286224066057,15.9848389508923,17.976970694748,-3.60864246630022,3.37522833934651,15.9620324695699,22.8953720330743,-7.92774914359883,2.76787495660936,-14.2397189441882
7,59.1533662409873,64.0599542057368,18.3879975522223,28.5958871915397,-1.87057135154212,13.996738986734,28.064832914197,38.4686254992858,15.1205332993917,27.4363483093064,15.8126001327375
8,69.303336812912,76.8745468224216,15.6905610222931,26.0101453680836,-4.81267220333537,11.8449582463423,30.8837585498882,44.2147761134945,37.0989411661023,49.7761343413107,21.1221843496122
9,72.0129292105168,84.018678353506,21.5678644242414,34.0678013690966,-2.52138709405242,17.2598356134372,45.1695389309502,59.1707308319959,52.9492661737021,65.9620821116155,33.5477981205013
10,94.4428330779163,107.462059626585,22.4333661863496,42.595807448263,-1.91077104934721,19.9606856647911,55.3543687251406,72.5710513323927,71.4593184283078,87.2513571468344,43.001789197173
11,95.7564746910613,108.904745910799,23.8386944583686,44.1900156088258,-0.814983159431629,21.4169322104051,56.5991962789881,74.0896884020161,72.3393853456413,88.7022281070705,59.6483896544424
12,112.953217152355,126.498805364856,36.0005842673704,60.6447239449844,11.6220879711677,37.6166201776717,57.3911333202664,85.9496535672402,89.457533129606,106.425261615342,61.0951526648226
13,113.024355013144,138.985200805248,46.9190475785633,74.9277332430267,24.9041202347548,54.6802369891179,75.1885243490305,105.555739308358,94.6872567264947,119.91773128053,79.8884525883974
14,128.899820615156,157.800594601485,48.8812580155992,80.0892892501456,40.7377207793555,74.0745922397956,99.8097144870609,130.699378006511,101.859011372949,136.114379898619,95.710159783812
15,144.879649803348,178.438980537223,55.6672098872165,96.0937524775249,50.606825066455,91.7391715360273,100.481401374828,143.121501252181,120.409171840985,160.044222042305,119.135195197865
16,147.134433319351,188.052947609595,65.0464707271032,108.117085678505,61.1626825623184,104.757923156706,111.062281291087,157.128102536734,140.847862284553,181.944539939149,139.313432627092
