"","x"
"1",0
"2",-0.000717197644571809
"3",-0.00143542477240969
"4",-0.00828447134480805
"5",-0.00186908758010379
"6",0
"7",0.00496808957847671
"8",0
"9",-0.000798570179107849
"10",0.00936215557923577
"11",0.00980318226378101
"12",-0.000336046598461518
"13",0
"14",0.00138198931759602
"15",0
"16",-0.010070869078702
"17",-0.00339110776186888
"18",-0.00332703213610593
"19",0.00333813822926947
"20",0
"21",-0.00695652173913047
"22",0
"23",-0.02284321937105
"24",-0.0108314501675367
"25",-0.0117378288955413
"26",0.00338780390593862
"27",0
"28",0.000595829195630586
"29",0
"30",-0.00480349344978162
"31",0.0024332841357852
"32",0.0036211699164345
"33",-0.0073748067086951
"34",0
"35",0.00243658877571396
"36",0
"37",0.00270959515460638
"38",0.00862343029724997
"39",0.00204877664394637
"40",-0.00440372744072672
"41",0
"42",-0.000394929110224715
"43",0
"44",0.00304215558452857
"45",0.000866551126516393
"46",-0.00334513970877607
"47",0.00533070088845015
"48",0
"49",-0.000785545954438335
"50",0
"51",0.012932389937107
"52",0.011874733206566
"53",-0.00210930009587728
"54",0.00138355111452725
"55",0
"56",-0.0151596561252687
"57",0
"58",-0.000545574997077312
"59",-0.000740827387218636
"60",-0.010847510535352
"61",-0.0244970414201183
"62",0
"63",-0.0184803267418821
"64",0
"65",0.0110003295978907
"66",0.00183381555890623
"67",-0.00199316628701598
"68",-0.0128388017118402
"69",0
"70",0.00268373245251858
"71",0
"72",-0.00164710726786082
"73",-0.022190142297381
"74",0.000632724511747585
"75",0.00134895877244763
"76",0
"77",-0.00058937442115016
"78",0
"79",-0.000379106992417898
"80",-0.00712148666301466
"81",-0.0137933961463373
"82",0.0100271119335543
"83",0
"84",-0.00962931401789515
"85",0
"86",0.00886250215109272
"87",0.00439232409381671
"88",-0.00560438160743866
"89",-0.00636181204901588
"90",0
"91",-0.00644551392231007
"92",0
"93",0.00211919384136324
"94",0.00319364723145315
"95",-0.0303721230372123
"96",0.00412618128577121
"97",0
"98",0.00410922587486752
"99",0
"100",-0.00928492849284925
"101",0.00706227236386253
"102",-0.00202884488157737
"103",0
"104",0
"105",0
"106",0.00287267423874133
"107",0
"108",0
"109",0.00995945707738426
"110",0
"111",0
"112",0
"113",0.00445065014399154
"114",0
"115",0.011511728931364
"116",0.0106935795576552
"117",-0.000722359139967822
"118",0
"119",0.00225368882085308
"120",0
"121",0.00933389902418328
"122",-0.00920554854981088
"123",0.0224852573077086
"124",-0.0121986639558525
"125",0
"126",0.0106271264754065
"127",0
"128",0.0108478802992518
"129",-0.00106903499033753
"130",-0.0153941140152295
"131",0.0037623845156975
"132",0
"133",0.0102453042355587
"134",0
"135",0.00325679185389788
"136",-0.0179158448389217
"137",-0.00443514644351461
"138",-0.00407665798100373
"139",0
"140",0.00670971008988483
"141",0
"142",0.0167672702883971
"143",-0.00754452506596295
"144",0.0152037552444647
"145",-0.00552395760874013
"146",0
"147",0.00950460829493084
"148",0
"149",0.00346443855716324
"150",0.00901705930138092
"151",-0.00426696723291197
"152",-0.006872574385511
"153",0
"154",-0.00492550679801348
"155",0
"156",0.00695438740028636
"157",-0.00515945561649393
"158",0.0131901339431557
"159",0.00112853169964942
"160",0
"161",-0.00374411208180691
"162",0
"163",-0.00331366685524926
"164",0.00279759974051252
"165",0.00909715764363401
"166",0.00460774100488821
"167",0
"168",0.0028317313444741
"169",0
"170",-0.00127266942411719
"171",-0.0121057661675691
"172",-0.001854240567559
"173",-0.00936919473386633
"174",0
"175",0.00362821035466779
"176",0
"177",-0.0116170437466997
"178",-0.00612337155303501
"179",-0.00219153159113471
"180",-0.00323235671957222
"181",0
"182",0.00128882052134865
"183",0
"184",0.000332170735758066
"185",-0.00481487630748793
"186",0.0254838171504838
"187",0.000203359498922195
"188",0
"189",0.00227716330514003
"190",0
"191",0.00746510873093137
"192",0.00600032216494849
"193",-0.00124094311676871
"194",0
"195",0
"196",0.00805611222444886
"197",0
"198",-0.000238559103017736
"199",-0.00489162855438464
"200",-0.00183838222364316
"201",-0.00316303651505449
"202",0
"203",0.00192794312567787
"204",0
"205",0.00833834435758676
"206",-0.00942233530791566
"207",0.00537807031626268
"208",0.0111377245508982
"209",0
"210",-0.012949583481385
"211",0
"212",0.00227990880364796
"213",0.0170803735334024
"214",0.00772973397159235
"215",0
"216",0
"217",-0.00404937117937939
"218",0
"219",0
"220",7.81891395284484e-05
"221",0.00238458230718108
"222",-0.000194992590281569
"223",0
"224",-0.00971252486640388
"225",0
"226",-0.00126043800220587
"227",-0.00469316926960092
"228",0.000752862860086417
"229",0.00289040228064626
