,LSTM,f.arima,f.arch,f.lm,f.gam
1,-0.009461542170986726,0.0249973408447528,0.0249973408447528,0.0249973408447528,0.0249973408447528
2,-0.009461542170986726,0.0042617801753907,0.0047282694589513,0.0003600139939847,0.0003600139939847
3,-0.019213553574079372,0.0030276018923894,0.0033840731631476,0.0003190284834254,0.0003190284834254
4,0.00774786126341016,0.0017619901687538,0.0021280217420834,0.00016527377117,0.00016527377117
5,-0.010950070411946762,0.0050328035571165,0.0056272362790607,0.0003564654184586,0.0003564654184586
6,0.0026583246803282288,0.0029753685884116,0.0032506081805999,0.0002979041145049,0.0002979041145049
7,0.02831798776425226,0.0044714758009658,0.0049376726829628,0.000418991700892,0.000418991700892
8,0.023468534341794484,0.0037449832806692,0.0040776345209404,0.0004428956549533,0.0004428956549533
9,0.022690697436944778,0.0055229309709159,0.0059271249026937,0.0006549583125703,0.0006549583125703
10,0.016252602397293075,0.0044428524934466,0.0046442931325008,0.0007224760491156,0.0007224760491156
11,0.024696275458389386,0.0041512952837095,0.0043734861524301,0.0007676061450739,0.0007676061450739
12,0.006153296884705608,0.0050678508093771,0.0054034337887109,0.0009128640151328,0.0009128640151328
13,0.011853970066716018,0.0025533750122898,0.002849518930481,0.0007974689258482,0.0007974689258482
14,0.019385978656813563,0.0041231607278306,0.0046293881293046,0.0008784667349351,0.0008784667349351
15,0.032612617557680836,0.0045733577309814,0.0049292150615353,0.000975981506115,0.000975981506115
16,0.03961505876902139,0.006476933396544,0.0068056832991891,0.0012476782992578,0.0012476782992578
17,0.0282241160364066,0.0059500789352602,0.0060144993751204,0.0014153719980979,0.0014153719980979
18,0.025039107048238165,0.0046560848841944,0.0046650869842831,0.0014592138430335,0.0014592138430335
19,0.03341138338335777,0.0044894406328822,0.0048039710149794,0.001522974062342,0.001522974062342
20,0.05129187537734677,0.0065551134934773,0.0070130411084761,0.001779840182413,0.001779840182413
21,0.007432257294070291,0.0086820391507629,0.0090509293224833,0.0021580431891977,0.0021580431891977
22,0.00773809372931857,-0.0010806768172274,-0.0007843051410133,0.001600562216221,0.001600562216221
23,0.022772844104816503,0.0059369068718271,0.0072121161548381,0.0020270793428307,0.0020270793428307
