,LSTM
207,7257.298828125
208,7229.2134765625
209,7082.71513671875
210,7187.36923828125
211,7183.3681640625
212,7169.6474609375
213,7511.73349609375
214,7753.00908203125
215,7819.10693359375
216,7775.4189453125
217,7919.807421875
218,7931.6044921875
219,8000.253125
220,8035.4705078125
221,8325.4119140625
222,8497.4423828125
223,8558.3828125
224,8652.862109375
225,8705.5216796875
226,8676.3427734375
227,8641.32890625
228,8646.269140625
229,8657.787109375
230,8551.1083984375
231,8533.7869140625
232,8446.20224609375
233,8482.1830078125
234,8578.600390625
235,8771.174609375
236,8858.76015625
237,8970.2873046875
238,8999.9306640625
239,9021.8005859375
240,9043.390234375
241,9047.41796875
242,9067.39921875
243,9244.086328125
244,9401.668359375
245,9497.518359375
246,9562.240625
247,9697.984765625
248,9686.7640625
249,9788.4263671875
250,9917.1044921875
251,9970.2083984375
252,10046.656640625
253,9991.054296875
254,9933.0072265625
255,9840.0376953125
256,9907.2173828125
257,9815.1734375
258,9683.7599609375
259,9668.7552734375
260,9586.8962890625
261,9609.8599609375
262,9529.80078125
263,9319.3822265625
264,9035.498828125
265,9110.328515625
266,8975.6447265625
267,8783.7994140625
268,8842.18046875
269,8855.5705078125
270,8780.6888671875
271,8713.426171875
272,8735.181640625
273,8782.067578125
274,8719.1759765625
275,8446.9
276,8289.67919921875
277,8177.93388671875
278,8123.29228515625
279,6937.6009765625
280,7127.15322265625
281,6471.80888671875
282,6353.32021484375
283,5894.49443359375
284,5912.3908203125
285,5771.87890625
286,6067.65625
287,5942.8287109375
288,5906.001171875
289,5693.71484375
290,6179.9263671875
291,6282.55439453125
292,6395.8587890625
293,6537.88037109375
294,6505.70810546875
295,6517.13427734375
296,6357.5044921875
297,6561.34130859375
298,6553.2705078125
299,6667.91015625
300,6792.29169921875
301,6784.08984375
302,6845.5666015625
303,6804.46826171875
304,7040.77978515625
305,7089.58974609375
306,7216.9876953125
307,7303.21484375
308,7175.9958984375
309,7176.84833984375
310,7138.68896484375
311,7084.67646484375
312,7070.4875
313,6930.41982421875
314,7114.222265625
315,7048.8853515625
316,7116.78076171875
317,7044.95576171875
318,6896.0634765625
319,6851.027734375
320,7107.56787109375
321,7281.70458984375
322,7368.59599609375
323,7434.16845703125
324,7546.169921875
325,7599.921484375
326,7632.277734375
327,8017.90458984375
328,8197.88994140625
329,8382.9087890625
330,8554.3986328125
331,8646.7126953125
332,8691.0916015625
333,8764.9751953125
334,8887.387890625
335,9236.848046875
336,9426.2333984375
337,9454.4921875
338,9187.1076171875
339,9009.95625
340,8938.4318359375
341,9027.6724609375
342,9268.362109375
343,9305.8380859375
344,9321.4521484375
345,9363.7599609375
346,9299.8677734375
347,9283.571484375
348,9234.9205078125
349,9161.77890625
350,9138.456640625
351,9109.0935546875
352,8939.89375
353,8871.9068359375
354,8861.3130859375
355,8930.833203125
356,9022.4015625
357,9008.502734375
358,9050.633203125
359,9280.365234375
360,9453.3041015625
361,9427.76015625
362,9420.051171875
363,9526.6072265625
364,9529.5912109375
365,9555.1404296875
366,9580.975390625
367,9606.283203125
368,9629.1119140625
369,9642.5248046875
370,9508.0541015625
371,9400.1841796875
372,9390.331640625
373,9280.88671875
374,9206.2763671875
375,9191.1232421875
376,9418.6763671875
377,9357.44765625
378,9282.9296875
379,9252.76953125
380,9194.0388671875
381,9312.095703125
382,9359.9845703125
383,9281.26953125
384,9231.6283203125
385,9169.9650390625
386,9077.880078125
387,9055.9001953125
388,9097.424609375
389,9098.559375
390,9088.283203125
391,9049.4765625
392,8987.428125
393,8975.71875
394,8966.5279296875
395,9038.1392578125
396,9060.128515625
397,9136.9263671875
398,9123.953125
399,9125.350390625
400,9123.5390625
401,9126.3279296875
402,9124.9396484375
403,9127.80859375
404,9110.5837890625
405,9084.3345703125
406,9054.0181640625
407,9046.6892578125
408,9030.6892578125
409,8991.15
410,9011.5576171875
411,9288.1162109375
412,9297.0611328125
413,9320.195703125
414,9384.1
415,9503.4751953125
416,9899.5498046875
417,10212.676171875
418,10386.085546875
419,10538.4900390625
420,10699.9578125
421,10934.1416015625
422,10942.2724609375
423,10925.192578125
424,11004.273046875
425,11175.2078125
426,11356.991015625
427,11347.3064453125
428,11429.6068359375
429,11455.378125
430,11482.515625
431,11390.4751953125
432,11296.6359375
433,11406.5744140625
434,11450.40625
435,11499.505859375
436,11515.9609375
437,11629.3052734375
438,11658.055859375
439,11521.9392578125
440,11486.849609375
441,11401.90625
442,11378.092578125
443,11389.621875
444,11429.438671875
445,11368.946484375
446,11268.104296875
447,11187.26953125
448,11114.3068359375
449,11065.8193359375
450,11053.6650390625
451,11369.62265625
452,11410.3166015625
453,11307.6337890625
454,10894.81875
455,10660.2763671875
456,10517.098828125
457,10428.253125
458,10420.209375
459,10339.850390625
460,10294.8712890625
461,10233.0376953125
462,10179.1591796875
463,10114.8896484375
464,10059.721875
465,10178.1583984375
466,10264.705078125
467,10379.080078125
468,10458.2837890625
469,10503.7697265625
470,10598.52421875
471,10623.5728515625
472,10500.1716796875
473,10443.444140625
474,10362.2041015625
475,10437.7048828125
476,10499.9912109375
477,10520.7671875
478,10540.825
479,10497.4287109375
480,10482.282421875
481,10424.593359375
482,10318.769140625
483,10475.4568359375
484,10418.253125
485,10461.2671875
486,10494.4443359375
487,10491.791796875
488,10496.9810546875
489,10478.3521484375
490,10514.488671875
491,10750.619140625
492,10857.100390625
493,10983.908203125
494,11057.73984375
495,11095.4294921875
496,11152.987890625
497,11159.576953125
498,11172.031640625
499,11232.037890625
500,11339.8775390625
501,11464.9802734375
502,11749.5265625
503,12091.92421875
504,12228.0740234375
505,12340.812890625
506,12429.0263671875
507,12464.7791015625
508,12634.5
509,12790.8634765625
510,12848.8904296875
511,12973.2990234375
512,13129.24375
513,13202.019921875
514,13176.562109375
515,13272.69140625
516,13439.5169921875
517,13805.126171875
518,14328.805859375
519,14350.23984375
520,14379.4625
521,14537.7794921875
522,14522.6529296875
523,14585.8587890625
524,14932.691796875
525,15332.2578125
526,15410.5919921875
527,15423.7900390625
528,15492.752734375
529,15864.2787109375
530,16317.4173828125
531,16525.2283203125
532,16838.2171875
533,17248.73125
534,17303.862890625
535,17245.666796875
536,17452.34140625
537,17789.755078125
538,17553.996875
539,17124.157421875
540,17134.12578125
541,17314.437890625
542,17670.098828125
543,18136.606640625
544,18098.509765625
545,18250.996875
546,18177.52109375
547,17922.6328125
548,18072.943359375
549,18329.63203125
550,18287.631640625
551,18069.717578125
552,18062.52578125
