,LSTM,f.arima,f.arch,f.lm,f.gam
704,-0.007550689015645493,0.0008481665220721,0.0008236839396013,0.0005716446874854,0.0005716446874854
705,-0.0051335379020963365,0.0002102261666584,0.0002367521497326,0.0005562310000436,0.0005562310000436
706,-0.002726886071597888,-0.0006573925386831,-0.0005932733503305,0.0005573787032384,0.0005573787032384
707,0.000855650101734229,-0.0008294533010974,-0.0005635687308715,0.0005450663952605,0.0005450663952605
708,0.001805741421034647,-0.0005717628309467,-0.0004234047631624,0.0005651560723812,0.0005651560723812
709,0.004719148699182549,0.0005565366621518,0.0006248427423286,0.0005642385503552,0.0005642385503552
710,0.003705513929620849,0.001322474193155,0.0010245135087461,0.0005831987253463,0.0005831987253463
711,0.00591374112038243,0.0016502230185139,0.0012619565710887,0.0005822556457951,0.0005822556457951
712,0.008980588429214495,0.0009919143874329,0.0006578814868125,0.0005977821488395,0.0005977821488395
713,-0.002229185860843489,0.0001921732706515,0.0002020004577795,0.0006239944932933,0.0006239944932933
714,-0.0022311500264982085,6.92822239928699e-06,0.0007338059594953,0.0006104352271043,0.0006104352271043
715,0.0017724208338144303,-0.0002444654407122,0.0005344081433777,0.0006064704370098,0.0006064704370098
716,0.0026475973395708586,-0.0002391743165073,4.37985406255203e-05,0.0006054955297945,0.0006054955297945
717,0.002255138840185142,5.69300245507597e-05,-0.0002292573697265,0.0006098066334926,0.0006098066334926
718,0.0022010838803596167,0.0005189049537964,2.70271539636106e-05,0.0006088277458086,0.0006088277458086
719,0.0070691299988269824,0.0007156891234657,0.0003075691939946,0.0006163383806299,0.0006163383806299
720,0.0021767082380579963,0.0007250888445451,0.0005754489431342,0.0006310825508519,0.0006310825508519
721,0.003938793400061189,0.0006932057392119,0.0010299233385362,0.0006199076756657,0.0006199076756657
722,0.002519318066992302,0.0001597230380543,0.0005057750215146,0.0006293668079912,0.0006293668079912
723,0.0009055074134328719,-8.6505384129513e-05,0.0001758889646143,0.0006283616991526,0.0006283616991526
724,0.0004197992064072882,-0.0001143333006429,9.17890066270239e-06,0.0006273585003248,0.0006273585003248
725,0.002375110377460849,7.00909439680313e-05,4.14563058618197e-05,0.0006256240721612,0.0006256240721612
726,0.001986885543286096,0.0003179905600573,0.0001685376126708,0.0006246257426433,0.0006246257426433
727,-0.009937881849772508,0.0004589208433665,0.00026512600451,0.0006277802315976,0.0006277802315976
728,0.0002171936846465338,0.0006104569247645,0.0007013017412902,0.000582689070463,0.000582689070463
